Label,Area,X-Cord,Y-Cord,Height,Width
2,265,61,0,25,14,66.84905660377359,12.071698113207548
4,206,121,0,13,22,131.8252427184466,6.932038834951456
10,206,263,0,21,15,270.13592233009706,10.03883495145631
13,218,341,0,22,12,346.26605504587155,10.068807339449542
14,351,367,0,25,24,378.8205128205128,12.082621082621083
23,212,301,16,17,16,308.29245283018867,24.32547169811321
24,308,86,20,27,16,93.56168831168831,32.89935064935065
25,316,123,20,29,18,131.45886075949366,34.65822784810127
30,289,190,23,16,27,203.42214532871972,29.768166089965398
32,208,157,24,20,18,165.95673076923077,33.51923076923077
36,206,226,31,25,13,232.25728155339806,42.58252427184466
39,216,256,34,20,20,265.56018518518516,43.754629629629626
56,204,103,57,20,15,110.01470588235294,66.66666666666667
69,209,277,70,23,13,283.0717703349282,80.87081339712918
71,311,412,73,24,24,422.4855305466238,82.35691318327974
87,213,34,91,17,21,43.774647887323944,99.10328638497653
88,205,160,90,22,18,168.79024390243902,100.37073170731708
91,212,382,96,20,19,390.41037735849056,105.08018867924528
93,317,345,98,16,30,359.58990536277605,105.88643533123029
109,303,241,119,26,21,251.77887788778878,131.5049504950495
150,215,42,162,17,22,52.95813953488372,170.30697674418604
174,205,445,189,22,13,450.4829268292683,199.41951219512194
180,206,18,195,21,17,26.033980582524272,205.4126213592233
184,223,50,199,19,14,56.20627802690583,207.8609865470852
186,257,462,198,22,22,473.6420233463035,208.84824902723736
188,278,206,204,21,28,218.1115107913669,214.75179856115108
191,228,395,207,21,17,402.6842105263158,217.28508771929825
195,221,267,215,15,19,275.72850678733033,221.68778280542986
203,301,421,226,21,26,432.9700996677741,235.70099667774087
204,211,282,229,16,20,291.5165876777251,236.53080568720378
210,221,150,233,23,16,157.6153846153846,244.01357466063348
220,206,388,246,17,16,396.0194174757282,254.23300970873785
239,255,311,267,16,26,324.7019607843137,274.0078431372549
260,213,82,293,16,22,92.40845070422536,300.7981220657277
271,210,273,305,17,21,282.53809523809525,313.62857142857143
277,214,240,309,18,14,246.78504672897196,317.4906542056075
278,205,0,310,12,23,10.95609756097561,315.9707317073171
281,202,103,317,12,24,114.84653465346534,322.63366336633663
286,517,315,325,25,34,330.9110251450677,336.7988394584139
289,201,254,328,15,21,264.1641791044776,334.97512437810946
293,201,282,331,19,17,289.74626865671644,339.7164179104478
296,290,89,336,27,15,95.80344827586207,349.9413793103448
301,297,114,340,26,25,126.5016835016835,351.24242424242425
312,249,141,354,22,25,150.58232931726909,365.2971887550201
